comment,roast
Este comentario es muy aburrido,¿Aburrido? Tu comentario tiene menos chispa que una bombilla fundida 💡
No me gusta esta película,Tu crítica cinematográfica tiene la profundidad de un charco después de la lluvia 🎬
El clima está horrible hoy,"El clima está mejor que tu actitud, al menos él tiene probabilidades de mejorar ☔"
Esta comida está mala,Tu paladar es más exigente que un crítico michelin con problemas digestivos 🍽️
No entiendo este código,El código está más claro que tu futuro como programador 💻
Este producto es caro,"Tu concepto de ""caro"" es tan relativo como tu comprensión de la economía 💸"
No me funciona la aplicación,La aplicación funciona perfectamente... cuando no la usas tú 📱
Este curso es muy difícil,El curso es tan difícil como explicarte por qué tienes que estudiar 📚
No me gusta este diseño,Tu sentido del diseño es tan bueno como el de alguien que decora con papel tapiz de los 70s 🎨
Esta música es ruidosa,"Para ti, cualquier sonido más complejo que el silencio es ruidoso 🎵"
